label,application_type_abstract,publication_title_claims
G,utility Systems and methods which prevent  limit access  protected content      value bearing indicia  VBI     general purpose user interface application      web browser  are shown  Embodiments implement techniques  avoid displaying protected content   general purpose user interface application   displaying protected content during  time  which  user does not have access  particular functions  the general purpose user interface application   protect the content from various operations  such  repeated printing  electronic copying  etc  Data presentation formatting control  the form  style sheets may  utilized  control access  content  Additionally  alternatively  executable code   executable object may  implemented within  page  other content  control access  content  Similarly  separate areas  such  windows  pages  may  utilized  control access  content ,Systems and methods for protecting content when using a general purpose user interface application
"G,H",utility  detection system  provided  The detection system includes gesture sensors installed  front panels   set  hall doors  The gesture sensors detect motion  The detection system includes  gesture detection unit that controls operations  the gesture sensors  The gesture detection unit analyzes the motion detected  the gesture sensors and detects  pre determined hand gesture format  The gesture detection unit activates  door open operation for the set  hall doors  response  detecting the pre determined hand gesture format ,Gesture controlled door opening for elevators considering angular movement and orientation
G,utility  recording medium records  information processing program for causing  computer  execute processing including  acquiring  image from  imaging device provided   first moving body  estimating  self position  the first moving body   first algorithm based  the image  generating  first point group that indicates  three dimensional shape around the first moving body  generating  second point group that indicates the three dimensional shape   second algorithm based  data used  the first algorithm  merging the first point group and second point group    generate  third point group  extracting  space   area group where  second moving body  parked from the third point group based   movement track  the first moving body and information regarding  size  the second moving body  dividing the extracted space  and specifying each area  the area group ,Recording medium recording information processing program  information processing method  and information processing apparatus
"H,G",utility Method for acquisition   least one hologram   sample  off axis holography using  transmission electron microscope  the microscope comprising  electron beam source   least one objective lens   sample holder   electron biprism and means  displacing the electron beam  precession mode upstream from the sample holder and  compensator  the precession downstream from the sample holder  said method comprising the activation  means  displacing the electron beam  precession mode and the compensator and acquisition   hologram  said sample  precession mode ,Method of acquiring holograms by off axis electron holography in precession mode
A,utility  method  preparing  robotic surgery apparatus for  medical procedure can include covering  manipulator unit  the robotic surgery apparatus with  first sterile barrier  coupling  drape coupler  the first sterile barrier   bottom surface  the manipulator unit and wrapping  drape  the first sterile barrier around side and top surfaces  the manipulator unit  The drape can  coupled  the drape coupler  The drape can  made  material that  more flexible than material  the drape coupler  The method can include covering  arm  the robotic surgery apparatus supporting the manipulator unit with  second sterile barrier that  distinct from the first sterile barrier  coupling the second sterile barrier  the arm and wrapping the second sterile barrier around the arm ,Methods for protecting robotic surgery systems with sterile barriers
A,utility  dental orthotic strut having  least one multi axis rotable joint connecting the strut  either  maxillary and  mandibular retainer attached  the teeth  Jaw advancement may  accomplished  periodically replacing the strut with  new strut having  slightly longer minimum length  thereby advancing the resting position  the closed jaw  The rotable joint  joints allow greater freedom  movement and comfort when the jaw  opened   non sagittal plane   plurality  strut pairs having  same length  but with progressively longer sets  strut pairs  generally supplied   that left and right struts can  progressively replaced with longer struts over time ,Dental orthotic strut having multiple axes of movement
H,utility  method for switching modes   electronic device  presented  The method can collect sound  the predetermined scenario   collector  the electronic device  and confirm prominent sound from the collected sound  When the duration  the prominent sound  greater than  equal   first period  time  the method can confirm that the prominent sound   sample sound  and switch the silent mode  ringing mode  the electronic device when the collector has not collected the prominent sound during  second period  time ,Method for switching mode and electronic device employing the method
"H,B",utility  control apparatus  applied   vehicle including     rotating electrical machine and     wheel speed sensor detecting  wheel speed  The control apparatus sets  rotation angle  the rotating electrical machine based   estimated value  the rotation angle which  estimated based   detection value  the wheel speed sensor ,Control apparatus and vehicle drive system
"B,C",utility  hydroprocessing system having  processing vessel that discharges  high temperature effluent that must  cooled prior  collection   reflux drum  One  more gas assisted spray nozzle are provided that utilize light atomizing gas having  density       times less than air  such  hydrogen  which preferably  the processing  recycle gas  the system  The spray nozzles are designed for the efficient atomization and direction  cooling water into  micron sized droplet distribution utilizing the light atomizing gas for affecting higher mass and heat transfer from the effluent  The spray nozzles each include  unique atomizing gas and cooling liquid passageway systems   downstream impingement post  and  plurality  discharge orifices which sequentially breakdown the liquid into micron sized droplets  low      microns and less ,Hydroprocessing system with improved cooling liquid atomization
B,utility  mold includes   fixed mold including  first mold plate   movable mold including  second mold plate  and  molding cavity  combining the fixed mold and the movable mold with each other   least one  the first and the second mold plates includes   nest   stepped pillar shape  the nest including  large diameter portion engaged  the insertion hole  and  small diameter portion  which  transfer surface  form  optical function surface   molded product  formed  and  outer diameter forming member   stepped cylindrical shape  the outer diameter forming member including  cylindrical portion arranged around the small diameter portion  the nest  and engaged  the insertion hole  and  flange portion  which  transfer surface  form  outer diameter portion  the molded product  formed ,Mold
H,utility  decoding device and  decoding method for decoding  target information from  bitstream  video data are provided  wherein the bitstream comprises  prediction parameter encoded  the bitstream  The decoding device  configured  calculate  randomized host signal based  the prediction parameter and  pseudo random signal  and  apply  check function  the randomized host signal and thereby obtain the target information   encoding device and  encoding method  and computer readable storage media for encoding and for decoding are also disclosed ,Method and apparatus for data hiding in prediction parameters
H,utility  television playout system provided   broadcast provider system receives  playout schedule  which corresponds   live video feed   channel broadcasted  one  more multichannel video program distributors  MVPDs   from  playout schedule source  and generates  new channel comprising one  more video  demand  VOD  content assets  based  one  more scheduling rules  the playout schedule    transmitted   plurality  MVPDs   time specified  the received playout schedule  The received live video feed  the channel  sanitized  removal   lower third graphical content overlay from the live video feed for the generation  the new channel   discontinuity  inserted between program segments  allow dynamic  insertion  DAI  within the program segments  the live video feed for the new channel ,Creation of channel to support legacy video on demand systems
H,utility The present disclosure relates   semiconductor package with reduced parasitic coupling effects  and  process for making the same  The disclosed semiconductor package includes  thinned flip chip die and  first mold compound component with  dielectric constant  more than    The thinned flip chip die includes  back end  line  BEOL  layer with  upper surface that includes  first surface portion and  second surface portion surrounding the first surface portion   device layer over the upper surface  the BEOL layer  and  buried oxide  BOX  layer over the device layer  The BEOL layer includes  first passive device and  second passive device  which are underlying the first surface portion and not underlying the second surface portion  Herein  the first mold compound component extends through the BOX layer and the device layer  the first surface portion ,Semiconductor package with reduced parasitic coupling effects and process for making the same
C,utility The present invention provides  process for preparing   methyl   nonanone  the following formula      the process comprising  least  step  subjecting   methylpentanoic anhydride  the following formula     and   butyl nucleophilic reagent  the following general formula      which  represents   MgZ    ZnZ   wherein   represents  halogen atom    butyl group    nucleophilic substitution  reaction Coproduce   methyl   nonanone       well   process for preparing   methyl   nonanol  the following formula      the process comprising  least steps  preparing   methyl   nonanone  and subjecting the obtained   methyl   nonanone and  reducing agent   reduction reaction  produce   methyl   nonanol     ,Processes for preparing   methyl   nonanone and   methyl   nonanol
